Date,USA HPI,US Population (25-54),US Mortgage to Income,Unemployment,CPI,Next Ohio HPI 1 Yr Out,Next Ohio HPI 2 Yr Out,Next Ohio HPI 3 Yr Out,Next Ohio HPI 4 Yr Out,Next Ohio HPI 5 Yr Out,Ohio HPI
2008-01-01,-2.226890756302524,1.3036245818694558,8.911721,5.0,4.294695655165981,-3.244475187094068,-3.873190554932094,-2.149377430251487,-1.6739514052581832,-0.012411251992723749,-1.2821474094624086
2009-01-01,-5.777288354103993,1.4632004992654268,8.736014,7.8,-0.11358601902212717,-1.6858688418744876,-0.6104800002601642,-2.6846064732110584,0.4537500584471381,2.129035837864592,-2.016557800394958
2010-01-01,-7.0066417718993135,1.3372469730075887,8.139607,9.8,2.6211113889767157,-2.694412828469055,-1.181840554847966,-2.2122197463263866,0.2953654009383122,2.3561490334806976,-5.457152823533962
2011-01-01,-3.4147687214541977,1.85770117047237,7.500138,9.1,1.7007834915029774,-0.4200969358194868,1.1422941795357673,0.7569604655431448,2.9505420407520297,4.503477503633871,-2.914770630918717
2012-01-01,-1.6154114697387922,2.3679653478742013,6.805059,8.3,3.0087663379855023,0.8416320429373201,2.4956376455033222,4.232386334929981,5.53417388548851,6.991884167038464,-1.1654421079300703
2013-01-01,2.1645161290322568,2.2572797407453216,6.520457,8.0,1.684061762098299,2.2945580085090036,3.557295823900038,4.5172416260771335,5.645647791831237,6.444584299469302,-0.23925489190805838
2014-01-01,4.650942502604916,1.7600343173506783,6.382673,6.6,1.557758795574915,3.240414458994554,3.767335367112743,4.48728955995902,5.036874071904986,5.27097620937192,0.8094218415417576
2015-01-01,5.40067583876418,1.3596254906449445,6.116055,5.7,-0.22993097820542818,5.170500569878573,5.654552163222984,4.9478726560366795,5.922098713541445,5.586627029954034,4.367220357704227
2016-01-01,4.846281559512233,2.4048249045696357,6.090748,4.8,1.2375025026943876,4.932069605846976,5.710060637799117,7.865367464085484,8.321140600963997,8.498750232333105,3.390727398542759
2017-01-01,5.242034564665432,2.6851863319487634,5.979369,4.7,2.5103933482571117,4.5656434031839765,5.302866816145812,8.810928601626284,8.70925929691165,9.060971353809503,4.169291338582659
2018-01-01,6.14314992087579,2.1996600792014265,5.924021,4.0,2.151318868063945,5.150175795096402,5.49620843927562,8.313207943531545,8.07930888047592,8.067559942799315,5.926149892286192
2019-01-01,4.597335940364178,2.5594947084763175,5.844992,4.0,1.4875893578291333,5.72862577732951,6.636308334970376,9.507256251305574,9.814074892243621,9.967472430549018,4.99875120419595
2020-01-01,5.086924011589877,2.733059547761729,5.915147,3.6,2.5122643638566533,5.207590146159795,5.888830347581752,9.856038613404888,9.646064688255414,9.927331104959508,6.150604866113918
2021-01-01,7.568985835946007,2.807644097529449,4.78471,6.4,1.3951009246599089,7.1112701982515905,8.609003693325825,11.266055063219302,11.395958558131436,11.221244329157692,7.782188360330378
2022-01-01,19.509270934535007,2.693374144564298,5.667339,4.0,7.5697666445729395,2.7530616153501555,0.5379619956929425,8.27298522653713,3.707236030057107,3.193147387348155,16.531527517894816
2023-01-01,8.070569921300685,2.6844684175542533,5.691535,3.4,6.362123304649603,3.707983154920708,3.4893655892392204,10.203629436728097,7.961853812384895,8.334990340026186,8.81865681152032
